step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
21,0,1304.086669921875,556.606689453125,585.1837158203125,0.0,0.0,0.0,216.9375,0.0,187.45938110351562,0.0,0.0,0.9674764275550842,0.0,0.0,0.0,10.16050910949707,3.502258062362671,2.4756245613098145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.0546875,0.0,0,0,0,128,0
22,0,979.0399780273438,617.9533081054688,599.0918579101562,0.0,0.0,0.0,216.9375,0.0,193.7921905517578,0.0,0.0,0.9700281023979187,0.0,0.0,0.0,10.432464599609375,3.6136512756347656,2.6420388221740723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.05859375,0.0,0,0,0,128,0
23,0,760.9400024414062,694.9533081054688,613.0,0.0,0.0,0.0,216.9375,0.0,201.3915557861328,0.0,0.0,0.9722084999084473,0.0,0.0,0.0,10.643836975097656,3.7464334964752197,2.812316656112671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.06328125298023224,0.0,0,0,0,128,0
24,0,682.3200073242188,630.2000122070312,363.76666259765625,0.0,0.0,0.0,216.9375,0.0,207.72438049316406,0.0,0.0,0.9740931987762451,0.0,0.0,0.0,10.833370208740234,3.8612287044525146,2.913362979888916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.06718750298023224,0.0,128,0,0,0,0
25,0,453.7866516113281,614.9066772460938,319.76666259765625,0.0,0.0,0.0,216.9375,0.0,215.32374572753906,0.0,0.0,0.975738525390625,0.0,0.0,0.0,10.95942211151123,3.971775770187378,3.0021870136260986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01640624925494194,0.0,0.07187499850988388,0.0,128,0,0,0,0
26,0,456.2733459472656,585.0066528320312,506.9866638183594,0.0,0.0,80.3125,216.9375,0.0,215.32374572753906,0.0,1.0,0.9771873354911804,0.0,0.0,0.0,11.06385612487793,4.07401704788208,3.1430165767669678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043750000186264515,0.01640624925494194,0.0,0.07187499850988388,0.0,128,0,0,0,0
27,0,517.780029296875,696.3333129882812,522.086669921875,0.0,0.0,81.5,216.9375,0.0,212.79061889648438,0.0,1.0,0.9784728288650513,0.0,0.0,0.0,11.185044288635254,4.20718240737915,3.2880406379699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.01640624925494194,0.0,0.0703125,0.0,128,0,0,0,0
28,0,521.4533081054688,772.9199829101562,424.6199951171875,0.0,0.0,185.8125,216.9375,0.0,212.79061889648438,0.0,1.0,0.9796212315559387,0.0,0.0,0.0,11.278278350830078,4.361622333526611,3.4059908390045166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00937500037252903,0.01640624925494194,0.0,0.0703125,0.0,128,0,0,0,0
29,0,361.5,849.2266845703125,429.3066711425781,0.0,0.0,189.375,216.9375,0.0,212.79061889648438,0.0,1.0,0.9806532859802246,0.0,0.0,0.0,11.326090812683105,4.537258148193359,3.525242567062378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011250000447034836,0.01640624925494194,0.0,0.0703125,0.0,128,0,0,0,0
30,0,199.36666870117188,669.393310546875,357.17999267578125,0.0,0.0,218.125,216.9375,0.0,210.25750732421875,0.0,0.9751586318016052,0.9815858006477356,0.0,0.0,0.0,11.326090812683105,4.662940502166748,3.6244592666625977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013749999925494194,0.01640624925494194,0.0,0.06875000149011612,0.0,128,0,0,0,0
31,0,198.44667053222656,778.3800048828125,223.89999389648438,0.0,0.0,245.6875,216.9375,0.0,210.25750732421875,0.0,0.934054434299469,0.9824326038360596,0.0,0.0,0.0,11.326090812683105,4.818896293640137,3.6866536140441895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.01640624925494194,0.0,0.06875000149011612,0.0,128,0,0,0,0
32,0,254.02000427246094,594.8333129882812,177.80667114257812,0.0,0.0,248.0625,216.9375,0.0,210.25750732421875,0.0,0.9471530914306641,0.9832049608230591,0.0,0.0,0.0,11.32774543762207,4.923867702484131,3.736044406890869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016875000670552254,0.01640624925494194,0.0,0.06875000149011612,0.0,128,0,0,0,0
33,0,396.3066711425781,659.2866821289062,168.9600067138672,0.0,0.0,279.1875,216.9375,0.0,208.99093627929688,0.0,0.9568085670471191,0.9839122295379639,0.0,0.0,0.0,11.360279083251953,5.0467424392700195,3.782977819442749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020625000819563866,0.01640624925494194,0.0,0.06796874850988388,0.0,128,0,0,0,0
34,0,724.8133544921875,803.586669921875,132.13333129882812,0.0,0.0,281.5625,216.9375,0.0,211.52406311035156,0.0,0.9635288119316101,0.984562337398529,0.0,0.0,0.0,11.483404159545898,5.209700584411621,3.819681406021118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02187499962747097,0.01640624925494194,0.0,0.06953124701976776,0.0,128,0,0,0,0
35,0,517.2000122070312,551.9400024414062,146.24667358398438,0.0,0.0,283.9375,216.9375,0.0,211.52406311035156,0.0,0.9684751629829407,0.9851619601249695,0.0,0.0,0.0,11.548198699951172,5.3027567863464355,3.8603055477142334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023125000298023224,0.01640624925494194,0.0,0.06953124701976776,0.0,128,0,0,0,0
