step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
44,0,0.0,21.086666107177734,0.0,0.0,0.0,0.0,0.0,0.0,293.8506164550781,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.005857407581061125,0.08008147776126862,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12031249701976776,0.0,0,0,0,86,42
45,0,0.0,0.1133333370089531,0.0,0.0,0.0,0.0,0.0,0.0,293.8506164550781,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.005888889078050852,0.08008147776126862,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.12031249701976776,0.0,0,0,0,86,42
46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.8506164550781,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.005888889078050852,0.08008147776126862,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.12031249701976776,0.0,0,0,0,86,42
47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3175048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.005888889078050852,0.08008147776126862,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.11874999850988388,0.0,0,0,0,86,42
48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.1171875,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.005888889078050852,0.08008147776126862,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.12109375,0.0,0,0,0,88,40
49,0,3.8533332347869873,0.0,35.09333419799805,0.0,0.0,0.0,0.0,0.0,295.1171875,0.0,0.0,0.0,0.0,0.0,0.0,0.10674259066581726,0.005888889078050852,0.08982963114976883,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.12109375,0.0,0,0,0,85,43
50,0,25.64666748046875,0.0,35.95333480834961,0.0,0.0,0.0,0.0,0.0,291.3175048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.1138666644692421,0.005888889078050852,0.09981666505336761,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.11874999850988388,0.0,0,0,0,85,43
51,0,0.0,0.0,37.19333267211914,0.0,0.0,0.0,0.0,0.0,296.3837585449219,0.0,0.0,0.0,0.0,0.0,0.0,0.1138666644692421,0.005888889078050852,0.11014814674854279,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.12187500298023224,0.0,0,0,0,84,44
52,0,0.0,0.0,29.35333251953125,0.0,0.0,0.0,0.0,0.0,296.3837585449219,0.0,0.0,0.0,0.0,0.0,0.0,0.1138666644692421,0.005888889078050852,0.11830185353755951,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.12187500298023224,0.0,0,0,0,84,44
53,0,0.0,0.0,31.280000686645508,0.0,0.0,0.0,0.0,0.0,296.3837585449219,0.0,0.0,0.0,0.0,0.0,0.0,0.1138666644692421,0.005888889078050852,0.12699073553085327,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.12187500298023224,0.0,0,0,0,84,44
54,0,0.0,0.0,23.706666946411133,0.0,0.0,0.0,0.0,0.0,296.3837585449219,0.0,0.0,0.0,0.0,0.0,0.0,0.1138666644692421,0.005888889078050852,0.1335759311914444,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.12187500298023224,0.0,0,0,0,84,44
55,0,0.0,0.0,27.406665802001953,0.0,0.0,0.0,0.0,0.0,296.3837585449219,0.0,0.0,0.0,0.0,0.0,0.0,0.1138666644692421,0.005888889078050852,0.14118888974189758,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.12187500298023224,0.0,0,0,0,84,44
56,0,0.0,0.0,39.08000183105469,0.0,0.0,0.0,0.0,0.0,296.3837585449219,0.0,0.0,0.0,0.0,0.0,0.0,0.1138666644692421,0.005888889078050852,0.15204444527626038,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.12187500298023224,0.0,0,0,0,84,44
57,0,0.0,38.00666809082031,49.87333297729492,0.0,0.0,0.0,0.0,0.0,293.8506164550781,0.0,0.0,0.0,0.0,0.0,0.0,0.1138666644692421,0.016446296125650406,0.1658981442451477,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.12031249701976776,0.0,0,0,0,84,44
58,0,5.139999866485596,131.56666564941406,60.66666793823242,0.0,0.0,0.0,0.0,0.0,322.9815673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.1152944415807724,0.05299259349703789,0.18275000154972076,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.13828125596046448,0.0,0,0,0,63,65
59,0,26.81333351135254,105.03333282470703,83.80000305175781,0.0,0.0,0.0,0.0,0.0,322.9815673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.08216851949691772,0.2060277760028839,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.13828125596046448,0.0,0,0,0,63,65
60,0,0.0,35.526668548583984,91.91999816894531,0.0,0.0,0.0,0.0,0.0,321.7149963378906,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.09203703701496124,0.2315611094236374,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.13750000298023224,0.0,0,0,0,63,65
61,0,0.0,2.2333333492279053,82.16666412353516,0.0,0.0,0.0,0.0,0.0,320.44842529296875,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.0926574096083641,0.25438517332077026,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.13671875,0.0,0,0,0,64,64
62,0,0.0,0.0,56.41999816894531,0.0,0.0,0.0,0.0,0.0,320.44842529296875,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.0926574096083641,0.27005741000175476,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.13671875,0.0,0,0,0,65,63
63,0,0.0,0.0,22.65333366394043,0.0,0.0,0.0,0.0,0.0,320.44842529296875,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.0926574096083641,0.2763499915599823,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.13671875,0.0,0,0,0,65,63
64,0,0.0,0.0,14.193333625793457,0.0,0.0,0.0,0.0,0.0,314.1156311035156,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.0926574096083641,0.2802926003932953,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.1328125,0.0,0,0,0,65,63
65,0,0.0,0.1133333370089531,2.4066667556762695,0.0,0.0,0.0,0.0,0.0,317.9153137207031,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.09268888831138611,0.2809610962867737,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.13515624403953552,0.0,0,0,0,62,66
66,0,0.0,24.886667251586914,0.0,0.0,0.0,0.0,0.0,0.0,324.2481384277344,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.0996018499135971,0.2809610962867737,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.13906249403953552,0.0,0,0,0,62,66
67,0,0.0,42.50666809082031,0.0,0.0,0.0,0.0,0.0,0.0,322.9815673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.1114092618227005,0.2809610962867737,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.13828125596046448,0.0,0,0,0,62,66
68,0,0.0,151.6266632080078,0.0,0.0,0.0,0.0,0.0,0.0,317.9153137207031,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.15352778136730194,0.2809610962867737,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.13515624403953552,0.0,0,0,0,63,65
69,0,0.0,149.05999755859375,0.0,0.0,0.0,0.0,0.0,0.0,320.44842529296875,0.0,0.0,0.0,0.0,0.0,0.0,0.12274259328842163,0.19493333995342255,0.2809610962867737,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.13671875,0.0,0,0,0,67,61
