step,dc,dc_current_green_power_w,dc_current_power_w,dc_green_ratio,dc_cumulative_wasted_green_wh,dc_future_short_mean,dc_future_short_trend,dc_future_long_mean,dc_future_long_peak_timing,dc_queue_sizes,dc_utilizations,dc_available_pes,dc_ram_utilizations
3,2,426.6266784667969,54.466251373291016,1.0,0.3725872039794922,0.7620689272880554,0.08548729866743088,0.5573645234107971,0.0699300691485405,0.0,0.0024999999441206455,296.0,0.4625000059604645
3,3,0.0,80.43281555175781,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.00390625,240.0,0.46875
3,4,0.0,26.375,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.004166666883975267,144.0,0.75
4,0,1732.3599853515625,26.375,1.0,2.4498097896575928,0.8352991342544556,0.033164132386446,0.689865231513977,0.27272728085517883,0.0,0.0012499999720603228,480.0,0.75
4,1,1305.719970703125,50.375,1.0,1.7871564626693726,0.7128599286079407,-0.04541703686118126,0.6123500466346741,0.1538461595773697,0.0,0.0015625000232830644,384.0,0.75
4,2,430.6866760253906,56.99937438964844,1.0,0.47638922929763794,0.7620689272880554,0.08548729866743088,0.5573645234107971,0.0699300691485405,0.0,0.0037499999161809683,296.0,0.4625000059604645
4,3,0.0,80.43281555175781,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.00390625,240.0,0.46875
4,4,0.0,28.75,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.008333333767950535,144.0,0.75
5,0,1837.4066162109375,26.375,1.0,2.952874183654785,0.8352991342544556,0.033164132386446,0.689865231513977,0.27272728085517883,0.0,0.0012499999720603228,480.0,0.75
5,1,1362.4466552734375,50.375,1.0,2.151620864868164,0.7128599286079407,-0.04541703686118126,0.6123500466346741,0.1538461595773697,0.0,0.0015625000232830644,384.0,0.75
5,2,283.239990234375,112.73218536376953,1.0,0.5237525105476379,0.7620689272880554,0.08548729866743088,0.5573645234107971,0.0699300691485405,0.0,0.006874999962747097,296.0,0.4625000059604645
5,3,0.0,80.43281555175781,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.00390625,240.0,0.46875
5,4,0.0,55.125,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.012500000186264515,144.0,0.75
6,0,1782.7467041015625,26.375,1.0,3.4407551288604736,0.7973307371139526,0.04494500532746315,0.6403570175170898,0.25874125957489014,0.0,0.0012499999720603228,480.0,0.75
6,1,1326.7733154296875,50.375,1.0,2.506175994873047,0.7343958616256714,0.032400574535131454,0.610205352306366,0.24475523829460144,0.0,0.0015625000232830644,384.0,0.75
6,2,321.1199951171875,112.73218536376953,1.0,0.5816380381584167,0.515008807182312,0.013978172093629837,0.451444149017334,0.0559440553188324,0.0,0.006874999962747097,296.0,0.4625000059604645
6,3,0.0,80.43281555175781,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.00390625,240.0,0.46875
6,4,0.0,55.125,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.012500000186264515,144.0,0.75
7,0,1802.2467041015625,26.375,1.0,3.9340527057647705,0.7973307371139526,0.04494500532746315,0.6403570175170898,0.25874125957489014,0.0,0.0012499999720603228,480.0,0.75
7,1,1405.13330078125,76.75,1.0,2.875171184539795,0.7343958616256714,0.032400574535131454,0.610205352306366,0.24475523829460144,0.0,0.0031250000465661287,384.0,0.75
7,2,285.1400146484375,112.73218536376953,1.0,0.6295290589332581,0.515008807182312,0.013978172093629837,0.451444149017334,0.0559440553188324,0.0,0.006874999962747097,296.0,0.4625000059604645
7,3,0.0,80.43281555175781,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.00390625,240.0,0.46875
7,4,0.0,81.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.01666666753590107,144.0,0.75
