combo,episode,green_waste_wh,green_used_wh,brown_used_wh,total_energy_wh,green_ratio,total_carbon_kg,carbon_intensity,total_cloudlets,remaining_cloudlets,routed_cloudlets,waste_ratio,completed_cloudlets,completion_rate,completion_time_dc_0,finished_dc_0,green_ratio_dc_0,completion_time_dc_1,finished_dc_1,green_ratio_dc_1,completion_time_dc_2,finished_dc_2,green_ratio_dc_2,completion_time_dc_3,finished_dc_3,green_ratio_dc_3,completion_time_dc_4,finished_dc_4,green_ratio_dc_4,completion_time_dc_5,finished_dc_5,green_ratio_dc_5,completion_time_dc_6,finished_dc_6,green_ratio_dc_6,completion_time_dc_7,finished_dc_7,green_ratio_dc_7,completion_time_dc_8,finished_dc_8,green_ratio_dc_8,completion_time_dc_9,finished_dc_9,green_ratio_dc_9,mean_completion_time,episode_length
min_queue_first_fit,3,996.1295457293254,343.5182584611174,456.84248140960585,800.3607398707233,0.4292042842038998,0.23255872523934462,0.29056738249918185,4959,0,0,0.7435756940095851,4959,1.0,700.8053333333334,3,0.4866545580795145,760.42225,8,0.5151345469430582,612.0546666666668,3,0.5032780583471472,768.9282857142858,7,0.023146094374913995,791.542,6,0.5632233766365949,725.0007368421053,19,0.0883413410432546,899.8989999999999,4,0.6005040179437366,669.54325,8,0.5559881895443841,613.8173333333334,3,0.5678081479825564,683.9010000000001,4,0.5956767203516203,730.1803076923076,1000
min_queue_first_fit,4,996.1295457293254,343.5182584611174,456.84248140960585,800.3607398707233,0.4292042842038998,0.23255872523934462,0.29056738249918185,4959,0,0,0.7435756940095851,4959,1.0,700.8053333333334,3,0.4866545580795145,760.42225,8,0.5151345469430582,612.0546666666668,3,0.5032780583471472,768.9282857142858,7,0.023146094374913995,791.542,6,0.5632233766365949,725.0007368421053,19,0.0883413410432546,899.8989999999999,4,0.6005040179437366,669.54325,8,0.5559881895443841,613.8173333333334,3,0.5678081479825564,683.9010000000001,4,0.5956767203516203,730.1803076923076,1000
min_queue_first_fit,5,996.1295457293254,343.5182584611174,456.84248140960585,800.3607398707233,0.4292042842038998,0.23255872523934462,0.29056738249918185,4959,0,0,0.7435756940095851,4959,1.0,700.8053333333334,3,0.4866545580795145,760.42225,8,0.5151345469430582,612.0546666666668,3,0.5032780583471472,768.9282857142858,7,0.023146094374913995,791.542,6,0.5632233766365949,725.0007368421053,19,0.0883413410432546,899.8989999999999,4,0.6005040179437366,669.54325,8,0.5559881895443841,613.8173333333334,3,0.5678081479825564,683.9010000000001,4,0.5956767203516203,730.1803076923076,1000
green_aware_best_fit,1,997.7813294464547,341.8664747439857,453.9662754296241,795.8327501736098,0.429570754243788,0.23097742637240595,0.29023362801043123,4959,0,0,0.7448086924976687,4959,1.0,0.0,0,0.48668648868376024,0.0,0,0.5150974507089121,0.0,0,0.5033351377642034,0.0,0,0.023199461957735784,0.0,0,0.561678687221757,0.0,0,0.09218075135124307,824.11025,8,0.6011745453938877,704.258,5,0.5554489672278107,0.0,0,0.5661953754473303,791.3259999999999,4,0.5972930416875193,781.1456470588234,1000
green_aware_best_fit,2,997.7813294464547,341.8664747439857,453.9662754296241,795.8327501736098,0.429570754243788,0.23097742637240595,0.29023362801043123,4959,0,0,0.7448086924976687,4959,1.0,0.0,0,0.48668648868376024,0.0,0,0.5150974507089121,0.0,0,0.5033351377642034,0.0,0,0.023199461957735784,0.0,0,0.561678687221757,0.0,0,0.09218075135124307,824.11025,8,0.6011745453938877,704.258,5,0.5554489672278107,0.0,0,0.5661953754473303,791.3259999999999,4,0.5972930416875193,781.1456470588234,1000
green_aware_best_fit,3,997.7813294464547,341.8664747439857,453.9662754296241,795.8327501736098,0.429570754243788,0.23097742637240595,0.29023362801043123,4959,0,0,0.7448086924976687,4959,1.0,0.0,0,0.48668648868376024,0.0,0,0.5150974507089121,0.0,0,0.5033351377642034,0.0,0,0.023199461957735784,0.0,0,0.561678687221757,0.0,0,0.09218075135124307,824.11025,8,0.6011745453938877,704.258,5,0.5554489672278107,0.0,0,0.5661953754473303,791.3259999999999,4,0.5972930416875193,781.1456470588234,1000
green_aware_best_fit,4,997.7813294464547,341.8664747439857,453.9662754296241,795.8327501736098,0.429570754243788,0.23097742637240595,0.29023362801043123,4959,0,0,0.7448086924976687,4959,1.0,0.0,0,0.48668648868376024,0.0,0,0.5150974507089121,0.0,0,0.5033351377642034,0.0,0,0.023199461957735784,0.0,0,0.561678687221757,0.0,0,0.09218075135124307,824.11025,8,0.6011745453938877,704.258,5,0.5554489672278107,0.0,0,0.5661953754473303,791.3259999999999,4,0.5972930416875193,781.1456470588234,1000
green_aware_best_fit,5,997.7813294464547,341.8664747439857,453.9662754296241,795.8327501736098,0.429570754243788,0.23097742637240595,0.29023362801043123,4959,0,0,0.7448086924976687,4959,1.0,0.0,0,0.48668648868376024,0.0,0,0.5150974507089121,0.0,0,0.5033351377642034,0.0,0,0.023199461957735784,0.0,0,0.561678687221757,0.0,0,0.09218075135124307,824.11025,8,0.6011745453938877,704.258,5,0.5554489672278107,0.0,0,0.5661953754473303,791.3259999999999,4,0.5972930416875193,781.1456470588234,1000
green_queue_balanced_min_load,1,986.5895606516705,353.05824353877193,466.41298180163113,819.4712253404031,0.4308366573727025,0.23824620916514375,0.29073163498349536,4959,0,0,0.7364544304597078,4959,1.0,723.467109195402,174,0.4864158279067094,739.5736766917291,133,0.5149572621048273,758.0348869565221,115,0.5034797337937782,0.0,0,0.023199461957735784,684.7284473684209,76,0.5617447650753962,652.6125102040818,49,0.08585901754648051,677.2133706896552,116,0.5993931940034174,642.8832941176471,17,0.5515161470575339,693.9594,20,0.5659237805769127,728.3417000000001,20,0.5973897300199702,713.0135444444444,1000
green_queue_balanced_min_load,2,986.5895606516705,353.05824353877193,466.41298180163113,819.4712253404031,0.4308366573727025,0.23824620916514375,0.29073163498349536,4959,0,0,0.7364544304597078,4959,1.0,723.467109195402,174,0.4864158279067094,739.5736766917291,133,0.5149572621048273,758.0348869565221,115,0.5034797337937782,0.0,0,0.023199461957735784,684.7284473684209,76,0.5617447650753962,652.6125102040818,49,0.08585901754648051,677.2133706896552,116,0.5993931940034174,642.8832941176471,17,0.5515161470575339,693.9594,20,0.5659237805769127,728.3417000000001,20,0.5973897300199702,713.0135444444444,1000
green_queue_balanced_min_load,3,986.5895606516705,353.05824353877193,466.41298180163113,819.4712253404031,0.4308366573727025,0.23824620916514375,0.29073163498349536,4959,0,0,0.7364544304597078,4959,1.0,723.467109195402,174,0.4864158279067094,739.5736766917291,133,0.5149572621048273,758.0348869565221,115,0.5034797337937782,0.0,0,0.023199461957735784,684.7284473684209,76,0.5617447650753962,652.6125102040818,49,0.08585901754648051,677.2133706896552,116,0.5993931940034174,642.8832941176471,17,0.5515161470575339,693.9594,20,0.5659237805769127,728.3417000000001,20,0.5973897300199702,713.0135444444444,1000
green_queue_balanced_min_load,4,986.5895606516705,353.05824353877193,466.41298180163113,819.4712253404031,0.4308366573727025,0.23824620916514375,0.29073163498349536,4959,0,0,0.7364544304597078,4959,1.0,723.467109195402,174,0.4864158279067094,739.5736766917291,133,0.5149572621048273,758.0348869565221,115,0.5034797337937782,0.0,0,0.023199461957735784,684.7284473684209,76,0.5617447650753962,652.6125102040818,49,0.08585901754648051,677.2133706896552,116,0.5993931940034174,642.8832941176471,17,0.5515161470575339,693.9594,20,0.5659237805769127,728.3417000000001,20,0.5973897300199702,713.0135444444444,1000
green_queue_balanced_min_load,5,986.5895606516705,353.05824353877193,466.41298180163113,819.4712253404031,0.4308366573727025,0.23824620916514375,0.29073163498349536,4959,0,0,0.7364544304597078,4959,1.0,723.467109195402,174,0.4864158279067094,739.5736766917291,133,0.5149572621048273,758.0348869565221,115,0.5034797337937782,0.0,0,0.023199461957735784,684.7284473684209,76,0.5617447650753962,652.6125102040818,49,0.08585901754648051,677.2133706896552,116,0.5993931940034174,642.8832941176471,17,0.5515161470575339,693.9594,20,0.5659237805769127,728.3417000000001,20,0.5973897300199702,713.0135444444444,1000
