step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,avail_pes_dc0,avail_pes_dc1,avail_pes_dc2,avail_pes_dc3,avail_pes_dc4,pred_pes_dc0,pred_pes_dc1,pred_pes_dc2,pred_pes_dc3,pred_pes_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
28,127,0.0,0.0,0.0,0.0,0.0,382.5,0.0,0.0,0.0,0.0,0.01597527600824833,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000298023224,0.0,0.0,0.0,0.0,360.0,384.0,296.0,240.0,144.0,134.0,0.0,0.0,0.0,0.0,1,0,0,0,0
29,126,0.0,0.0,0.0,0.0,0.0,386.0625,0.0,0.0,0.0,0.0,0.015270004980266094,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768750011920929,0.0,0.0,0.0,0.0,357.0,384.0,296.0,240.0,144.0,135.0,0.0,0.0,0.0,0.0,2,0,0,0,0
30,127,0.0,0.0,0.0,0.0,0.0,383.6875,0.0,0.0,0.0,0.0,0.014628179371356964,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07562500238418579,0.0,0.0,0.0,0.0,357.0,384.0,296.0,240.0,144.0,136.0,0.0,0.0,0.0,0.0,1,0,0,0,0
31,124,0.0,0.0,0.0,0.0,0.0,387.25,0.0,0.0,0.0,0.0,0.014032875187695026,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07750000059604645,0.0,0.0,0.0,0.0,356.0,384.0,296.0,240.0,144.0,142.0,0.0,0.0,0.0,0.0,4,0,0,0,0
32,127,0.0,0.0,0.0,0.0,0.0,389.625,0.0,0.0,0.0,0.0,0.0134808961302042,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07874999940395355,0.0,0.0,0.0,0.0,354.0,384.0,296.0,240.0,144.0,144.0,0.0,0.0,0.0,0.0,1,0,0,0,0
33,127,0.0,0.0,37.5,0.0,0.0,395.5625,0.0,0.0,0.0,0.0,0.012963221408426762,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.010416666977107525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08187499642372131,0.0,0.0,0.0,0.0,348.0,384.0,296.0,240.0,144.0,145.0,0.0,0.0,0.0,0.0,1,0,0,0,0
34,126,0.0,0.0,54.37333297729492,0.0,0.0,395.5625,0.0,0.0,0.0,0.0,0.01248383428901434,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.02552037127315998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08187499642372131,0.0,0.0,0.0,0.0,347.0,384.0,296.0,240.0,144.0,145.0,0.0,0.0,0.0,0.0,2,0,0,0,0
35,127,0.0,0.0,35.06666564941406,0.0,0.0,397.9375,0.0,0.0,0.0,0.0,0.012036061845719814,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.035261109471321106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08312500268220901,0.0,0.0,0.0,0.0,347.0,384.0,296.0,240.0,144.0,144.0,0.0,0.0,0.0,0.0,1,0,0,0,0
36,127,0.0,0.0,30.3266658782959,0.0,0.0,402.6875,0.0,0.0,0.0,0.0,0.011614497750997543,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0436851866543293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08562500029802322,0.0,0.0,0.0,0.0,343.0,384.0,296.0,240.0,144.0,146.0,0.0,0.0,0.0,0.0,1,0,0,0,0
37,127,0.0,0.0,23.68000030517578,0.0,0.0,400.3125,0.0,0.0,0.0,0.0,0.011223705485463142,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.05026296153664589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08437500149011612,0.0,0.0,0.0,0.0,341.0,384.0,296.0,240.0,144.0,144.0,0.0,0.0,0.0,0.0,1,0,0,0,0
