step,clock,dc,vm,host,cloudlet,status,exec_start,finish,finished_mi,remaining_mi,last_proc_time,host_util,host_power_w,dc_power_w,dc_green_w,green_row,green_rows_total,tz_rows,warmup_rows,episode_offset_rows
68,69.000,0,1,1,1,INEXEC,40.000,-1.000,1120000,800000,68.000,0.400000,65.6400,65.6400,354.8033,16546,52559,0,0,16477
68,69.000,0,0,0,0,SUCCESS,20.000,68.000,1920000,0,NaN,NaN,NaN,65.6400,354.8033,16546,52559,0,0,16477
69,70.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,267.8500,16547,52559,0,0,16477
70,71.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,216.7367,16548,52559,0,0,16477
71,72.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,192.3733,16549,52559,0,0,16477
72,73.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,188.9100,16550,52559,0,0,16477
73,74.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,119.0633,16551,52559,0,0,16477
74,75.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,109.0633,16552,52559,0,0,16477
75,76.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,128.1200,16553,52559,0,0,16477
76,77.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,132.2333,16554,52559,0,0,16477
77,78.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,86.5867,16555,52559,0,0,16477
78,79.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,50.5000,16556,52559,0,0,16477
79,80.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,42.1567,16557,52559,0,0,16477
80,81.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,18.2533,16558,52559,0,0,16477
81,82.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,0.0000,16559,52559,0,0,16477
82,83.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,0.0000,16560,52559,0,0,16477
83,84.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,0.0000,16561,52559,0,0,16477
84,85.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,0.0000,16562,52559,0,0,16477
85,86.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,0.0000,16563,52559,0,0,16477
86,87.000,0,1,1,1,INEXEC,40.000,-1.000,1160400,759600,69.010,0.400000,65.6400,65.6400,0.0000,16564,52559,0,0,16477
87,88.000,0,1,1,1,INEXEC,40.000,-1.000,1919599,401,87.990,0.400000,65.6400,65.6400,0.0000,16565,52559,0,0,16477
88,89.000,0,1,1,1,INEXEC,40.000,-1.000,1919599,401,87.990,0.400000,65.6400,65.6400,0.0000,16566,52559,0,0,16477
89,90.000,0,1,1,1,SUCCESS,40.000,89.000,1920000,0,NaN,NaN,NaN,0.0000,0.0000,16567,52559,0,0,16477
